"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","686","test_get_single_user","test.api.api_projest","2026-01-12","passed","2026-01-12","","test_api","",""
"","652","test_user_not_found","test.api.api_projest","2026-01-12","passed","2026-01-12","","test_api","",""
"","519","test_success_login","test.ui.login_project","2026-01-12","passed","2026-01-12","","test_login","",""
"","842","test_create_post","test.api.api_projest","2026-01-12","passed","2026-01-12","","test_api","",""
